Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Till Behnke,https://www.crunchbase.com/person/till-behnke,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Till Behnke is based out of Berlin and is the Founder and CEO of Rulemapping Group. Till previously worked at Millicom Foundation as an Exec...,1,,1,,,,,https://www.linkedin.com/in/tillbehnke,,,,,,,,,,"81,735"
GLOBAL WEALTH GROUP,https://www.crunchbase.com/organization/global-wealth-group-2da4,,1,,"Nicosia, Nicosia, Cyprus","Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",Global wealth is atraded company that offers fund management.,1,,1,Active,2024-01-01,year,https://www.globalwealth-group.com/,https://cy.linkedin.com/company/globalwealthgroupplc,Financial Services,Financial Services,,,11-50,,,,Private,"81,892"
Startupbootcamp FinTech Melbourne,https://www.crunchbase.com/organization/startupbootcamp-fintech-melbourne,Accelerator,1,,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia","Startupbootcamp FinTech Melbourne works with the startups, scaleups and corporates on Australia’s financial health and wellbeing program.",1,,,Active,2010-01-01,year,https://www.startupbootcamp.org/accelerator/fintech-melbourne/,https://www.linkedin.com/company/startupbootcamp,"Financial Services, FinTech",Financial Services,,,,Early Stage Venture,For Profit,,Private,"81,972"
Johnathan Matlock,https://www.crunchbase.com/person/johnathan-matlock,"Individual/Angel, Investment Partner",1,,"Bedford, Bedfordshire, United Kingdom","Europe, Middle East, and Africa (EMEA)",Johnathan Matlock is the Co-Founder of Empirical Ventures. He previously worked at Science Angel Syndicate as a Co-Founder. Johnathan Matloc...,1,,,,,,,https://www.linkedin.com/in/johnathanmatlock,,,,,,,,,,"82,704"
Hasib Khan,https://www.crunchbase.com/person/hasib-khan,Individual/Angel,1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Hasib Khan,1,,1,,,,,https://www.linkedin.com/in/hasib-khan-21002772,,,,,,,,,,"82,716"
Flow Ventures,https://www.crunchbase.com/organization/flow-ventures-c2ab,Venture Capital,1,,"Haugesund, Rogaland, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Flow Ventures is a venture capital firm that focuses on investments in the ocean industries.,1,,1,Active,2019-01-01,year,https://www.flow.eco/ventures,https://www.linkedin.com/company/flowaccelerate/,"Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"84,011"
Scelta Products,https://www.crunchbase.com/organization/scelta-products,,1,,"Kruiningen, Zeeland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Scelta Products is a retailer of frozen foods specialized in producing breaded, frozen snack products based on vegetables.",1,,1,Closed,2000-01-01,year,https://www.sceltaproducts.com,https://www.linkedin.com/company/sceltaproducts,"Retail, Snack Food","Commerce and Shopping, Food and Beverage",,,101-250,,For Profit,Was Acquired,Private,"84,606"
Evgenii Kondratev,https://www.crunchbase.com/person/evgenii-kondratev,Individual/Angel,1,,"Sweden, Europe","European Union (EU), Nordic Countries, Scandinavia",Evgenii Kondratev,1,,,,,,,https://www.linkedin.com/in/e-kondratev,,,,,,,,,,"85,370"
Kiuas,https://www.crunchbase.com/organization/kiuas,Accelerator,1,,"Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia","Kiuas is the #1 startup accelerator in Finland, supporting 50+ startups/year on their journey from an idea to first revenue.",1,,,Active,2017-01-01,month,http://kiuas.com,https://www.linkedin.com/company/kiuas/,"Financial Services, Incubators","Financial Services, Lending and Investments",,,11-50,"Early Stage Venture, Seed",,,Private,"85,498"
Koen Christiaens,https://www.crunchbase.com/person/koen-christiaens,"Individual/Angel, Investment Partner",1,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",Koen Christiaens,1,,,,,,,https://www.linkedin.com/in/koenchristiaens/,,,,,,,,,,"85,519"
Moubin Faizullah-Khan,https://www.crunchbase.com/person/moubin-faizullah-khan,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Moubin Faizullah-Khan is an Associate in the Retail & Consumer team.  He joined Apax Partners in 2014 and is currently based in London. P...,1,,,,,,,https://www.linkedin.com/in/moubin/,,,,,,,,,,"86,174"
I.A.C.E.R. srl,https://www.crunchbase.com/organization/i-a-c-e-r-srl,,1,,"Scorzè, Veneto, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Manufacturer of medical devices for home rehabilitation,1,,,Active,,,https://itechmedicaldivision.com/en/,https://www.linkedin.com/company/i-tech-medical-division/,,,,,11-50,,,,Private,"86,387"
Amatis,https://www.crunchbase.com/organization/amatis,Venture Capital,1,,"Heerenveen, Friesland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Amatis is a technology company that supports customers with financial software solutions.,1,,,Active,2001-01-01,year,https://www.amatis.nl/,https://www.linkedin.com/company/amatis-development/,"Apps, Financial Services, Software","Apps, Financial Services, Software",,,101-250,"Early Stage Venture, Seed",,,Private,"86,834"
Halland Invest,https://www.crunchbase.com/organization/halland-invest,Venture Capital,1,,"Halmstad, Hallands Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Halland Invest invests in companies and have potential for growth but are not yet ready for traditional venture capital firms.,1,,1,Active,2008-06-19,day,https://hallandinvest.se/,,,,,,,"Early Stage Venture, Seed",,,Private,"87,204"
Territorio Gaming,https://www.crunchbase.com/organization/territorio-gaming,,1,,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Territorio Gaming is a management consulting company that helps business to co-create innovative business models.,1,,,Active,2018-01-01,year,https://territorio-gaming.com/,https://www.linkedin.com/company/territorio-gaming/about/,"Management Consulting, Small and Medium Businesses","Other, Professional Services",,,1-10,,For Profit,,Private,"88,032"
FUT Ventures,https://www.crunchbase.com/organization/fut-ventures,Venture Capital,1,,,,"FUT Ventures is an investment company for entertainment, gaming, esports, media and production.",1,,,Active,,,https://futventures.co,https://www.linkedin.com/company/venturesfut/,"eSports, Finance, Gaming","Financial Services, Gaming, Sports",,,1-10,,,Made Acquisitions,Private,"88,286"
Ndoto,https://www.crunchbase.com/organization/ndoto,,1,,"Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Ndoto is a community development organization that educates and develops at-risk families in order to help them realize their ambitions.,1,,1,Active,2009-01-01,year,https://ndoto.org,https://www.linkedin.com/company/ndoto-for-africa's-future/,,,,,11-50,,For Profit,,Private,"88,463"
Mehdi Medjaoul,https://www.crunchbase.com/person/mehdi-medjaoul,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Mehdi Medjaoul is the Founder and CEO of olympe.legal. He previously worked at emlyon business school as a Lecturer. Mehdi Medjaoul attended...,1,,,,,,,http://fr.linkedin.com/pub/mehdi-medjaoui/45/1ba/971/en,,,,,,,,,,"90,574"
Renate Nyborg,https://www.crunchbase.com/person/renate-nyborg,Individual/Angel,1,,"Châtel-saint-denis, Vaud, Switzerland","Europe, Middle East, and Africa (EMEA)",Renate Nyborg is the CEO at Tinder.,1,,,,,,,http://www.linkedin.com/in/renatenyborg,,,,,,,,,,"90,780"
Bensu Aydın,https://www.crunchbase.com/person/bensu-aydın,Individual/Angel,1,,"United States, North America",,"Bensu Aydin is the Co-Founder and CEO of JETLEXA. She attended Istanbul Bilgi University in 2014, Cardozo School of Law in 2019, and Cornell...",1,,,,,,,https://www.linkedin.com/in/bensuaydin,,,,,,,,,,"90,926"
Guillaume Sztejnberg,https://www.crunchbase.com/person/guillaume-sztejnberg-2,Individual/Angel,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Guillaume Sztejnberg is the founder and CEO of Green Panda Games. He previously worked at AppTurbo as a CEO and Founder. Guillaume Sztejnber...,1,,,,,,,https://www.linkedin.com/in/gsztejnberg,,,,,,,,,,"91,158"
Krim Talia,https://www.crunchbase.com/person/krim-talia,"Individual/Angel, Investment Partner",1,,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia","Krim Talia is the CEO of Sting. He previously worked at FindOut Diagnostic AB as a Member of the Board, Investor. Krim Talia attended Harvar...",1,,,,,,,https://www.linkedin.com/in/krim-talia-8411365,,,,,,,,,,"93,025"
Nevzat Gizer,https://www.crunchbase.com/person/nevzat-gizer,Individual/Angel,1,,"Istanbul, Turkey, Europe","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Nevzat Gizer,1,,,,,,,https://www.linkedin.com/in/nevzat-gizer-8843a529/,,,,,,,,,,"93,499"
Blommenholm Industrier,https://www.crunchbase.com/organization/blommenholm-industrier,Venture Capital,1,,"Oslo, Oslo, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)","Blommenholm Industrier is a finance company that focuses on investments, holding shares in schibsted and adevinta.",1,,,Active,1992-01-01,year,https://www.blommenholmindustrier.com,https://www.linkedin.com/company/blommenholm-industrier,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Tinius Nagell-Erichsen,1-10,"Early Stage Venture, Seed",,,Private,"94,149"
FORMULA2GX,https://www.crunchbase.com/organization/formula2gx,Angel Group,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Digital transformation,1,,1,Active,2020-01-01,year,https://www.formula2gx.com/,https://www.linkedin.com/company/formula2gx-digital-innovation-services-boutique/,Consulting,Professional Services,,,1-10,Seed,,,Private,"94,217"
Victor Trokoudes,https://www.crunchbase.com/person/victor-trokoudes,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Victor Trokoudes CEO, Plum Former head of international at TransferWise a fintech unicorn – joined the company when there were 6 in London a...",1,,,,,,,http://www.linkedin.com/pub/victor-trokoudes/11/75b/979,,,,,,,,,,"95,279"
Argo accelerator,https://www.crunchbase.com/organization/argo-accelerator,Accelerator,1,,,,Argo is the acceleration program Created on the initiative of CDP Venture Capital in collaboration with the Ministry of Tourism,1,,1,Active,,,https://www.argoaccelerator.com,,,,,,,,,,Private,"96,111"
Cobrey Farms,https://www.crunchbase.com/organization/cobrey-farms,,1,,"Ross On Wye, Herefordshire, United Kingdom","Europe, Middle East, and Africa (EMEA)","Cobrey Farms is an agricultural farm that produces and supplies asparagus, green beans, blueberries, rhubarb, and potatoes.",1,,,Active,1925-01-01,year,https://www.cobrey.co.uk,https://www.linkedin.com/company/cobrey-farms,"Farming, Food and Beverage, Food Processing, Manufacturing, Wholesale","Agriculture and Farming, Commerce and Shopping, Food and Beverage, Manufacturing",,,501-1000,,For Profit,,Private,"96,813"
CologneInvest,https://www.crunchbase.com/organization/cologneinvest,Venture Capital,1,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",CologneInvest is a venture capital business run by the owners.,1,,,Active,1999-01-01,year,http://www.cologne-invest.com,https://www.linkedin.com/company/cologneinvest-gmbh,,,,,1-10,Early Stage Venture,,,Private,"96,831"
Fast Forward Ventures,https://www.crunchbase.com/organization/fast-forward-ventures,Private Equity Firm,1,,"London, Ontario, Canada",Great Lakes,Fast Forward Ventures is an investment company that provides financial services for investors in real estate firms.,1,,1,Active,2016-01-01,year,https://www.ffventuresinc.com/,https://www.linkedin.com/company/fast-forward-ventures-inc,"Angel Investment, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,1-10,,,,Private,"97,076"
Aleksei Dolgikh,https://www.crunchbase.com/person/aleksei-dolgikh-dca6,Individual/Angel,1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Aleksei Dolgikh CVO Scout VCs, PE, MFOs, LP, GP.",1,,,,,,https://alexdolbun.com,https://linkedin.com/in/alexdolbun,,,,,,"Convertible Note, Crowdfunding, Debt, Early Stage Venture, Private Equity, Secondary Market, Seed, Venture",,,,"97,420"
Guillaume Durao,https://www.crunchbase.com/person/guillaume-durao,"Individual/Angel, Investment Partner",1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Guillaume Durao joined Idinvest Partners in March 2015 as an Investment Director in the venture capital team in order to contribute to the s...,1,,,,,,,https://www.linkedin.com/in/guillaumedurao,,,,,,,,,,"97,815"
Hübner Ventures,https://www.crunchbase.com/organization/hübner-ventures,Venture Capital,1,,"Grünwald, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Hübner Ventures is an investment management firm focusing on hotels and residential and commercial offices.,1,,,Active,2020-07-03,day,https://www.huebner-ventures.com,https://www.linkedin.com/company/huebner-ventures,"Consulting, E-Commerce, Hospitality, Real Estate, Software","Commerce and Shopping, Professional Services, Real Estate, Software, Travel and Tourism",,,,"Early Stage Venture, Seed",,,Private,"98,237"
Intersearch Executive Consultants,https://www.crunchbase.com/organization/intersearch-executive-consultants,,1,,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",One of the largest executive consultant networks of the world (office in more than 50 countries!),1,,,Active,1985-01-01,year,https://intersearch-executive.de,https://www.linkedin.com/company/intersearch-executive-consultants-gmbh-&-co.-kg,"Management Consulting, Recruiting, Small and Medium Businesses","Other, Professional Services",,,11-50,,For Profit,,Private,"98,843"
Cristobal Viedma,https://www.crunchbase.com/person/vidma-cristobal,Individual/Angel,1,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Viedma Cristobal is the Software Engineer: Head of platform at Viki Inc.,1,,,,,,http://viedma.es,http://www.linkedin.com/in/viedma,,,,,,,,,,"98,936"
Netempire,https://www.crunchbase.com/organization/netempire,Angel Group,1,,"Rösrath, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Netempire is a financial firm that provides investment strategies to enhance business growth for organizations.,1,,,Active,2001-06-05,day,https://netempire.ag/,,"Consulting, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",,,11-50,,,,Private,"99,097"
Matthijs Welle,https://www.crunchbase.com/person/matthijs-welle,Individual/Angel,1,,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Matthijs Welle is the CEO of Mews Systems.,1,,,,,,,https://www.linkedin.com/in/matthijswelle/,,,,,,,,,,"99,498"
T-Life Capital,https://www.crunchbase.com/organization/t-life-capital,,1,,"Athens, Attiki, Greece","European Union (EU), Europe, Middle East, and Africa (EMEA)",T-Life Capital is an investmentfirm.,1,,,Active,2015-01-01,year,https://tlifecapital.com/,https://gr.linkedin.com/company,,,,,1-10,,,,Private,"99,655"
Thanassis Sofianos,https://www.crunchbase.com/person/thanassis-sofianos-33ee,Individual/Angel,1,,"Greece, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)","Thanassis Sofianos is the Founder & CEO of Relevance Digital Agency. He attended the Athens University of Economics and Business, Harvard Un...",1,,,,,,,https://www.linkedin.com/in/thanassissofianos/,,,,,,,,,,"100,194"
Antoine Poirson,https://www.crunchbase.com/person/antoine-poirson,"Individual/Angel, Investment Partner",1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Antoine Poirson - Partner @ Antler,1,,,,,,,https://www.linkedin.com/in/antoine-poirson/?locale=en_US,,,,,,"Early Stage Venture, Seed",,,,"100,223"
Intesa Sanpaolo Innovation Center,https://www.crunchbase.com/organization/intesa-sanpaolo-innovation-center,Accelerator,1,,,,Intesa Sanpaolo Innovation Center is a Frontier innovation that is the focus of the Intesa Sanpaolo Group entity.,1,,,Active,,,https://www.intesasanpaoloinnovationcenter.com/it/chi-siamo/,,"Innovation Management, Sustainability","Professional Services, Sustainability",,,,,,,Private,"102,528"
Philipp Freyschlag,https://www.crunchbase.com/person/philipp-freyschlag,"Individual/Angel, Investment Partner",1,,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Philipp Freyschlag is Director at Bregal Unternehmerkapital. Previously, he was a partner at VTC Industriebeteiligungen in Munich.  ",1,,,,,,http://www.bregal.de/team/philipp-freyschlag/,https://www.linkedin.com/in/philipp-freyschlag-876833ab/,,,,,,,,,,"102,706"
Lebenheim Capital,https://www.crunchbase.com/organization/lebenheim-capital,Angel Group,1,,"Fermo, Marche, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","Your Friendly Neighborhood Angel Investor, focusing on early-stage startups in Europe and Asia.",1,,1,Active,2013-12-18,day,https://www.lebenheim.capital,https://www.linkedin.com/company/lebenheim-capital,Angel Investment,"Financial Services, Lending and Investments",,,1-10,Seed,,,Private,"102,815"
Bulwark Holding BV,https://www.crunchbase.com/organization/bulwark-holding-bv,Venture Capital,1,,"Vianen, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Venture Capital,1,,,Active,2000-07-25,day,,,,,1,Alfons Boltjes,1-10,"Early Stage Venture, Late Stage Venture",,,Private,"106,247"
Lina Chong,https://www.crunchbase.com/person/lina-chong,"Individual/Angel, Investment Partner",1,,"Berlin, Germany, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)","Lina joined Target Global in 2018 after having worked in product and monetization at ResearchGate, a company aiming to connect the world of ...",1,,,,,,,https://www.linkedin.com/in/linachong/,,,,,,,,,,"106,436"
Anton Soulier,https://www.crunchbase.com/person/anton-soulier,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Anton Soulier is the Founder of Taster. He is a former Business Development, Business Operations Manager, Regional Manager, and Deputy Gener...",1,,,,,,,https://www.linkedin.com/in/anton-soulier-097b2b23,,,,,,,,,,"106,752"
GMP Capital,https://www.crunchbase.com/organization/gmp-capital-inc,Venture Capital,1,,"Toronto, Ontario, Canada",Great Lakes,"GMP is an independent diversified financial services firm focused on delivering tailored solutions, expert advice and best-in-class.",1,,,Active,1991-01-01,year,http://gmpcapital.com/,https://www.linkedin.com/company/gmp-financial,Financial Services,Financial Services,,,11-50,,For Profit,Made Acquisitions,Public,"107,134"
DFR Inwestycyjny,https://www.crunchbase.com/organization/dfr-inwestycyjny,"Private Equity Firm, Venture Debt",1,,"Plakowice, Dolnoslaskie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",DFR Inwestycyjny is a professional investment fund.,1,,,Active,,,https://www.dfr.org.pl/inwestycyjny,https://www.linkedin.com/company/dfr-inwestycyjny/about/,,,,,1-10,Seed,,,Private,"107,251"
Marta Krupinska,https://www.crunchbase.com/person/marta-krupinska,"Individual/Angel, Investment Partner",1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Tech entrepreneur and diversity advocate. Co-founder of three startups: a social media platform in late 00s, a money transfer platform Azimo...",1,,,,,,,https://www.linkedin.com/in/martakrupinska/,,,,,,,,,,"107,420"
Scuola Italiana di Ospitalità,https://www.crunchbase.com/organization/scuola-italiana-di-ospitalità,,1,,,,Scuola Italiana di Ospitalità is the hospitality management school.,1,,,Active,,,https://sio.edu.eu,https://www.linkedin.com/school/scuola-italiana-di-ospitalit%C3%A0,Hospitality,Travel and Tourism,,,,,,,Private,"108,284"
Vladimir Kholiaznikov,https://www.crunchbase.com/person/vladimir-kholiaznikov,Individual/Angel,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Vladimir Kholiaznikov is the co-founder of Jiffy Grocery.,1,,,,,,,https://www.linkedin.com/in/kholyaznikov/,,,,,,,,,,"109,607"
Three51 - Teamplay Ventures,https://www.crunchbase.com/organization/three51-teamplay-ventures,Venture Capital,1,,"Lisbon, Lisboa, Portugal","European Union (EU), Europe, Middle East, and Africa (EMEA)",Three51 is a venture builder that specializes in startup and corporate co-creation.,1,,,Active,2019-01-01,year,http://www.three51.com/,https://www.linkedin.com/company/three51/,,,,,,Seed,,,Private,"109,885"
Daniel Mathon,https://www.crunchbase.com/person/daniel-mathon,Individual/Angel,1,,"Abu Dhabi, United Arab Emirates, Asia","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","By day, investment professional at large sovereign wealth fund. By night, early-stage start-up investor, focused on neuroscience & data scie...",1,,,,,,,https://www.linkedin.com/in/danielmathon/,,,,,,"Early Stage Venture, Seed",,,,"110,438"
Eric Huet,https://www.crunchbase.com/person/eric-huet,"Individual/Angel, Investment Partner",1,,"Beijing, Beijing, China",Asia-Pacific (APAC),Eric Huet joined Ventech in 2000 and is a General Partner. He is driving investments in Software and Web Services sectors. He brings to Vent...,1,,,,,,,https://www.linkedin.com/in/eric-huet-3b374,,,,,,,,,,"110,482"
Giovanni Fili,https://www.crunchbase.com/person/giovanni-fili,"Individual/Angel, Investment Partner",1,,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia","Giovanni Fili is the Co-Founder, Investor and Board member of Atrogi. He previously worked at Nanologica AB as a Board Member, Vice Presiden...",1,,,,,,,https://www.linkedin.com/in/giovanni-fili-73569b,,,,,,,,,,"110,772"
Innovationsförderung Hessen,https://www.crunchbase.com/organization/innovationsförderung-hessen,Government Office,1,,,,Innovationsförderung Hessen provides support for innovative projects from the initial idea to project completion in their funding programs.,1,,,Active,2008-01-01,year,https://www.innovationsfoerderung-hessen.de,,,,,,11-50,Seed,For Profit,,Private,"110,890"
BSC-Partner,https://www.crunchbase.com/organization/bsc-partner,,1,,"Güstrow, Mecklenburg-Vorpommern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",BSC-Partner provides financial concepts and financial situations intended to help identify risks and limit them.,1,,,Active,,,http://www.bsc-partner.com,,"Finance, Financial Services, FinTech",Financial Services,,,,,For Profit,,Private,"111,114"
Volodymyr Strohush,https://www.crunchbase.com/person/volodymyr-strohush,Individual/Angel,1,,"Lviv, L'vivs'ka Oblast', Ukraine","Europe, Middle East, and Africa (EMEA)",Volodymyr Strohush is the Founder and Grants Consultant of Ademrius.,1,,,,,,,https://www.linkedin.com/in/strohush,,,,,,Early Stage Venture,,,,"112,684"
Jiaqi Pan,https://www.crunchbase.com/person/jiaqi-pan,Individual/Angel,1,,"Valencia, Comunidad Valenciana, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Serial entrepreneur with two startups behind. Expert on messaging apps, bots and conversational commerce. Currently working at Hello Umi, a ...",1,,,,,,http://www.helloumi.com/,https://www.linkedin.com/in/jiaqipan,,,,,,,,,,"112,862"
KBA Group,https://www.crunchbase.com/organization/kba-group,Micro VC,1,,"Cardiff, Cardiff, United Kingdom","Europe, Middle East, and Africa (EMEA)",KBA Group is an investment company.,1,,,Active,,,https://kbagroup.com.au/,,,,,,,,For Profit,,Private,"113,176"
Pietro Giuliani,https://www.crunchbase.com/person/pietro-giuliani,Individual/Angel,1,,"Milan, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Pietro Giuliani is a Chairman & Founder at Azimut Holding.,1,,,,,,https://www.azimut.it/it/,,,,,,,,,,,"114,447"
Alexander Alten,https://www.crunchbase.com/person/alexander-alten-lorenz,"Individual/Angel, Investment Partner",1,,,,"Alex is the CEO and co-founder at databloom AI, the federated learning and AI company. Attended at Technische Universität Dresden.",1,,1,,,,https://angel.co/u/2pk03,https://www.linkedin.com/in/alexanderalten/,,,,,,,,,,"114,797"
Kirsten Connell,https://www.crunchbase.com/person/kirsten-connell,"Individual/Angel, Investment Partner",1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Kirsten joined Seedcamp in early 2011 from E-Synergy where she managed Investment Readiness Programmes in London, Northern Ireland and conti...",1,,,,,,,https://www.linkedin.com/in/kirstenconnell/,,,,,,,,,,"116,296"
Viremidos investicijos,https://www.crunchbase.com/organization/viremidos-investicijos-3857,"Family Investment Office, Venture Capital",1,,"Klaipeda, Klaipedos Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Family Wealth Holding Co.,1,,,Active,,,,,,,,,1-10,,,,Private,"116,799"
Mehmet Toprak,https://www.crunchbase.com/person/mehmet-toprak-e051,Individual/Angel,1,,"Ankara, Turkey, Europe","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Mehmet Toprak is the Chief Executive Officer at Topraklar Manufacturing Export Limited Company and Chairman of the Board of Directors of Str...,1,,,,,,,https://www.linkedin.com/in/mehmettoprak1971/,,,,,,Seed,,,,"116,815"
Keystones network,https://www.crunchbase.com/organization/keystones-network,,1,,,,Keystones network is an Investment firm.,1,,1,Active,,,,,,,,,,,,,Private,"117,077"
SumUp Impact Fund,https://www.crunchbase.com/organization/sumup-impact-fund,,1,,,,SumUp Impact Fund,1,,,Active,,,,,,,,,,,,,Private,"117,539"
50 Partners Health,https://www.crunchbase.com/organization/50-partners-health,Accelerator,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","50 Partners Health invests in startups who want to deliver meaningful innovation to patients, healthcare professionals.",1,,,Active,,,,https://www.linkedin.com/showcase/50p-health,,,,,1-10,,,,Private,"117,806"
Roland Keijzer,https://www.crunchbase.com/person/roland-keijzer,Individual/Angel,1,,"Rotterdam, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Roland Keijzer,1,,,,,,,https://www.linkedin.com/in/keijzer/,,,,,,,,,,"117,839"
Krzysztof Nowicki,https://www.crunchbase.com/person/krzysztof-nowicki,Individual/Angel,1,,"Warsaw, Mazowieckie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)",Krzysztof Nowicki is the CEO and Founder of LiveMarket.,1,,1,,,,,https://www.linkedin.com/in/knowicki,,,,,,,,,,"118,089"
Ralf Schlaepfer,https://www.crunchbase.com/person/ralf-schlaepfer,Individual/Angel,1,,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","20 years strategy consultant with focus on growth. Organic groth include definition of new strategic business fields, change management, org...",1,,1,,,,,https://www.linkedin.com/in/ralfschlaepfer/?ppe=1,,,,,,,,,,"118,310"
Karl Wehner,https://www.crunchbase.com/person/karl-wehner,Individual/Angel,1,,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Karl Wehner Managing Director Alibaba.com – Germany, Austria, Switzerland Karl Wehner joined the Alibaba Group in June 2016 and was appoint...",1,,,,,,http://www.alibabagroup.com,https://www.linkedin.com/in/karlwehner,,,,,,,,,,"118,453"
Daniel Zacharias,https://www.crunchbase.com/person/daniel-zacharias,Individual/Angel,1,,"Koblenz, Rheinland-Pfalz, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Entrepreneur & Founder,1,,,,,,https://sdui.de/,https://www.linkedin.com/in/daniel-zacharias-b25854135/,,,,,,,,,,"118,525"
Roshan Bhondekar,https://www.crunchbase.com/person/roshan-bhondekar,Individual/Angel,1,,"Madrid, Spain, Europe","European Union (EU), Europe, Middle East, and Africa (EMEA)","Roshan Bhondekar (born 30 August 1987) is an Indian-Spanish writer, entrepreneur and filmmaker known for his award-winning short films and n...",1,,1,,,,https://roshanbhondekar.com,https://es.linkedin.com/in/roshanbhondekar,,,,,,,,,,"118,654"
Grossmann & Berger,https://www.crunchbase.com/organization/grossmann-berger-0dd7,Private Equity Firm,1,,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Grossmann & Berger GmbH is one of the leading real estate service providers for the sale and rental of commercial and residential properties,1,,,Active,1960-01-01,year,https://www.grossmann-berger.com/,https://www.linkedin.com/company/grossmann-berger-immobilien/,,,,,,,,,Private,"120,400"
